I3135,OlaldeNature2018,Scotland_N,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,Great_Britain,56.4033333,-5.478056,I2a_Y,I2a1b1a1a1b_Y,U5b_mt,U5b2a_mt,3638,3386,3512
I3715,MathiesonNature2018,Ukraine_N,Volniensky_Vilnianka,Ukraine,47.9543,35.3893,I2a_Y,I2a1b1_Y,U2e_mt,U2e1_mt,5636,5483,5559.5
I3717,MathiesonNature2018,Ukraine_N,Dereivka_I,Ukraine,48.91422,33.76493,I2a_Y,I2a1b1a_Y,U5a_mt,U5a2+16294_mt,5371,5216,5293.5
I4114,MathiesonNature2018,Ukraine_N,Dereivka_I,Ukraine,48.91422,33.76493,R1b_Y,R1b1b_Y,U5a_mt,U5a1_mt,5474,5324,5399
I1887,LipsonNature2017,Hungary_MN_Vinca,Versend-Gilencsa,Hungary,45.5853,18.30771,H2a_Y,H2a1_Y,T2b_mt,T2b*1_mt,5400,5000,5200
I1899,LipsonNature2017,Hungary_LN_Lengyel,Veszprem_Jutasi_ut,Hungary,47.102645,17.912987,C1a_Y,C1a2b_Y,T2b_mt,T2b_mt,4900,4300,4600
I1901,LipsonNature2017,Hungary_LN_Lengyel,Veszprem_Jutasi_ut,Hungary,47.102645,17.912987,G2a_Y,G2a2a_Y,J1c_mt,J1c2_mt,4900,4300,4600
I1903,LipsonNature2017,Hungary_LN_Lengyel,Bataszek-Lajver,Hungary,46.20487,18.7004,H2a_Y,H2a1_Y,T2+_mt,T2+16189_mt,4900,4300,4600
I1906,LipsonNature2017,Hungary_LN_Lengyel,Csabdi-Telizoldes,Hungary,47.51062,18.61693,H2_Y,H2_Y,H_mt,H_mt,4900,4300,4600
I2532,MathiesonNature2018,Romania_EN,Cotatcu,Romania,45.466,27.01,G2a_Y,G2a2b2b_Y,K1a_mt,K1a2_mt,5721,5623,5672
I2630,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1a2a_Y,K1a_mt,K1a4_mt,2618,2461,2539.5
I2631,OlaldeNature2018,Scotland_N,Scotland_Orkney_Quoyness,Great_Britain,59.23,-2.568,I2a_Y,I2a1a2a1a1_Y,H5_mt,H5_mt,3263,2905,3084
I2635,OlaldeNature2018,Scotland_N,Scotland_Tulloch_of_Assery,Great_Britain,58.53,-3.603,I2a_Y,I2a1a2a_Y,U5b_mt,U5b1+16189+@16192_mt,3647,3517,3582
I2637,OlaldeNature2018,Scotland_N,Scotland_Orkney_Holm_of_Papa_Westray_North,Great_Britain,59.35,-2.873,I2a_Y,I2a1a2a_Y,K1b_mt,K1b1a1_mt,3510,3340,3425
I2650,OlaldeNature2018,Scotland_N,Scotland_Orkney_Holm_of_Papa_Westray_North,Great_Britain,59.35,-2.873,I2a_Y,I2a1b1a2b2_Y,T2c_mt,T2c1d1_mt,3500,3360,3430
I2660,OlaldeNature2018,Scotland_N,Scotland_Distillery_Cave,Great_Britain,56.41,-5.471,I2a_Y,I2a1b1a1a1b_Y,W1+_mt,W1+119_mt,3515,3357,3436
I2691,OlaldeNature2018,Scotland_N,Scotland_Distillery_Cave,Great_Britain,56.41,-5.471,I2a_Y,I2a1b1a1a_Y,J1c_mt,J1c1_mt,3710,3632,3671
I2743,LipsonNature2017,Hungary_MN_ALPc_Szakalhat,Cegled_site_4/1,Hungary,47.178841,19.860515,G2a_Y,G2a2b2a_Y,H1a_mt,H1ag_mt,5300,4900,5100
