Ids,number of mtDNA SNPs,coverage mtDNA,number of Ychr SNPs,coverage Ychr,state
2H07,32,36.5676X,231,0.0704X,used
LON003_LON004,29,92.9506X,149,0.009X,used
I5957,28,40.4927X,44,0.0001X,deleted
PB186-A-EX3,27,102.716X,726,0.0044X,used
HBS009,8,13.2047X,90,0.0001X,used
ROUQC,34,32.7256X,225,0.0522X,used
XN168,17,1.2733X,72,0.0001X,deleted
KGH6-A,26,191.087X,524,0.0024X,used
I0174,29,41.7745X,71,0.0078X,used
TottyPot1,6,6.6988X,25,0.0037X,deleted
PB1327-A2-EX3,33,73.173X,424,0.0018X,used
ANN2-B-WEX1,14,41.2804X,259,0.0011X,used
I1904,35,12.8935X,489,0.0012X,used
EJ_Ukraine_N1,24,10.9584X,133,0.0272X,used
2HC51961131,26,196.0338X,286,0.0822X,used
ARD2-A-EX3,30,132.5696X,736,0.0046X,used
PN04-A-EX3,8,82.9649X,593,0.003X,used
XN165,15,1.6799X,160,0.0003X,deleted
I2977,7,130.146X,463,0.0026X,used
LBR002,20,2.6167X,339,0.0006X,used
I5886,26,24.0834X,34,0.0001X,deleted
ROUQW,26,41.7273X,252,0.0645X,used
I0172,31,63.3169X,866,0.3851X,used
I0802,7,15.7472X,6,0X,deleted
I1893,24,129.4769X,23,0X,deleted
GRC022,19,2.0262X,291,0.0007X,used
I3719,7,96.8265X,201,0.0007X,used
PB443-A3,37,113.7726X,828,0.0054X,used
Klei10,28,93.0749X,909,0.0051X,used
HBS007,13,2.3348X,44,0X,deleted
XN167,4,1.1048X,135,0.0002X,deleted
I2532,29,111.7091X,429,0.0013X,used
PN03-A-EX3,29,68.6721X,537,0.003X,used
I5070,30,130.0016X,517,0.0038X,used
XN173,23,16.9264X,60,0.0001X,deleted
I1099,31,100.5472X,310,0.0007X,used
I2978,37,128.7073X,504,0.003X,used
I6759,26,118.1582X,467,0.0021X,used
CHA003,29,95.1392X,164,0.0108X,used
I2021,30,35.6242X,6,0X,deleted
I5374,8,93.8212X,9,0X,deleted
I2631,8,139.4968X,531,0.0036X,used
RISE1241,24,48.2742X,498,0.0951X,used
prs003,9,254.2688X,152,0.0446X,used
BurnGround,23,45.9961X,419,0.0696X,used
I5891,25,21.789X,8,0X,deleted
CAK534-A-EX3,26,4.362X,21,0.0001X,deleted
I1880,27,9.4487X,272,0.0004X,used
ans017,12,230.8526X,1116,1.0444X,used
ANN1-B-EX3,29,84.3395X,585,0.0029X,used
I2637,37,75.6384X,494,0.0023X,used
ELT006,27,135.0478X,385,0.0478X,used
I1896,29,14.7986X,100,0.0001X,used
PER3123,24,12.082X,81,0.0007X,used
I4187,6,1.7274X,15,0X,deleted
1H13,30,113.4202X,510,0.1652X,used
I0698,8,21.3344X,466,0.0023X,used
GRC023,7,0.8867X,200,0.0002X,deleted
I2337,31,57.2732X,227,0.0152X,used
I2379,29,16.1334X,297,0.0005X,used
I4167,27,66.38X,30,0X,deleted
OBN005,1,0.5451X,221,0.0003X,deleted
SCH016,22,4.199X,107,0.0001X,used
ASH3-D-EX3,35,144.2864X,575,0.0033X,used
